"","Article_id_to_keep","Grouping","Article_id_to_delete","Absolute_Sales_Transferred","Transferability_Percentage","Sales_to_delete","Ranking_to_delete","New_Total_Sales_receiving_sales","Total_Sales_Transferability","Sales_Lost.Relative","Sales_Lost.Absolute","article_to_delete-PRODUCT.DIVISION","article_to_delete-CHANNEL..ECOM.","article_to_delete-INTRO.DATE","article_to_delete-BRAND.ASSET","article_to_delete-PRODUCT.GROUP","article_to_delete-CLASS","article_to_delete-PRODUCT.TYPE","article_to_delete-AGE","article_to_delete-GENDER","article_to_delete-BUSINESS.UNIT","article_to_delete-MARKETING.DIVISION","article_to_delete-MODEL.NAME","article_to_delete-SALES.VOLUME","article_to_delete-RRP...local.currency.","article_to_delete-RRP..LOCAL.CURRENCY..currency.","article_to_delete-GOOD.BETTER.BEST.INDICATION","article_to_delete-INVOICE.MARGIN","article_to_delete-CARRY.OVER.ARTICLE","article_to_delete-SALES.UNITS","article_to_delete-MANDATORY.RANGE","article_to_delete-RANGE.TYPE.SPECIAL.USAGE","article_to_delete-CREATION.CENTER","article_to_delete-FRANCHISE","article_to_keep-PRODUCT.DIVISION","article_to_keep-CHANNEL..ECOM.","article_to_keep-INTRO.DATE","article_to_keep-BRAND.ASSET","article_to_keep-PRODUCT.GROUP","article_to_keep-CLASS","article_to_keep-PRODUCT.TYPE","article_to_keep-AGE","article_to_keep-GENDER","article_to_keep-BUSINESS.UNIT","article_to_keep-MARKETING.DIVISION","article_to_keep-MODEL.NAME","article_to_keep-SALES.VOLUME","article_to_keep-RRP...local.currency.","article_to_keep-RRP..LOCAL.CURRENCY..currency.","article_to_keep-GOOD.BETTER.BEST.INDICATION","article_to_keep-INVOICE.MARGIN","article_to_keep-CARRY.OVER.ARTICLE","article_to_keep-SALES.UNITS","article_to_keep-MANDATORY.RANGE","article_to_keep-RANGE.TYPE.SPECIAL.USAGE","article_to_keep-CREATION.CENTER","article_to_keep-FRANCHISE"
"651","CG1016","ECOM_Pants (1/1)_ADULT_WOM","CW2252",7.92870589360935,10.036336574189,79,4,236.928705893609,95.8610361950902,4.13896380490979,3.26978140587874,"APPAREL","ECOM","1/1/2018","NON ROYALTY","PANTS","adi perf APP WOM Athltcs","Pants (1/1)","ADULT","WOM","TRAINING","SP","ELL36","105","45","0","Good","0.77","","79","NO ASSIGNMENT","INLINE","CCP","not applicable","APPAREL","ECOM","1/1/2018","NON ROYALTY","PANTS","adi perf APP WOM Athltcs","Pants (1/1)","ADULT","WOM","TRAINING","SP","EAW75","305","60","0","Better","0.8025","CO","229","NO ASSIGNMENT","INLINE","CCH","not applicable"
"652","CG1016","T&L_Pants_Female_Adult","DJ0908",12.7996855829705,8.30917419592189,154.042811971044,3,479.625325322157,91.1999396115872,8.80006038841285,13.5558604774611,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"653","CG1016","T&L_Pants_Female_Adult","CF0337",7.15165248565645,15.3378554618776,46.62746042582,1,479.625325322157,92.0880203672422,7.91197963275781,3.68915517216308,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"654","CG1016","T&L_Pants_Female_Adult","DH7089",12.2841640753422,8.81512506776042,139.353259096336,3,479.625325322157,90.5551612027499,9.44483879725006,13.1616906803631,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"655","CG1016","T&L_Pants_Female_Adult","DH7092",16.9988359870811,9.80842003280244,173.308605567784,4,479.625325322157,97.1613710183492,2.83862898165084,4.91958830534206,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"656","CG1026","CS_Tght Long_ADULT_WOM","DQ1422",32.149192517795,9.18548357651285,350,2,1029.8972154826,86.8630742392605,13.1369257607395,45.9792401625882,"APPAREL","CS","5/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","7/8 TIGHT W","500","45","0","Good","0.767111111","","350","NO ASSIGNMENT","FAST FASHION STYLE","CCH","not applicable","APPAREL","CS","1/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","EAW67","1350","40","0","Good","0.788","","945","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH",""
"657","CG1026","CS_Tght Long_ADULT_WOM","DQ1423",30.8673757067491,7.82598263412052,394.421725038979,3,1029.8972154826,98.3874564528726,1.61254354712739,6.36022207558458,"APPAREL","CS","5/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","7/8 TIGHT W","500","45","0","Good","0.767111111","","350","NO ASSIGNMENT","FAST FASHION STYLE","CCH","not applicable","APPAREL","CS","1/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","EAW67","1350","40","0","Good","0.788","","945","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH",""
"658","CG1026","DtC_Tght Long_ADULT_WOM","DQ1422",32.151999739345,9.18628563981287,350,2,1029.905776328,86.8642833129194,13.1357166870806,45.975008404782,"APPAREL","DtC","5/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","7/8 TIGHT W","1000","45","0","Good","0.767111111","","350","NO ASSIGNMENT","FAST FASHION STYLE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","EAW67","3816","40","0","Good","0.788","","945","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH",""
"659","CG1026","DtC_Tght Long_ADULT_WOM","DQ1423",30.8697778455705,7.82668875737083,394.416831977619,3,1029.905776328,98.3875182604034,1.61248173959656,6.35989939353435,"APPAREL","DtC","5/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","7/8 TIGHT W","1000","45","0","Good","0.767111111","","350","NO ASSIGNMENT","FAST FASHION STYLE","CCH","not applicable","APPAREL","DtC","1/1/2018","NON ROYALTY","TIGHTS","adi perf APP WOM Athltcs","Tght Long","ADULT","WOM","TRAINING","SP","EAW67","3816","40","0","Good","0.788","","945","BRAND COLLECTION WHS, RETL, ECOM","INLINE","CCH",""
"660","CG1078","T&L_Tights_Female_Adult","CF4028",19.3633873627972,8.11268838995024,238.680279977029,5,488.977788671843,89.2524279281112,10.7475720718888,25.6523351119172,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
